rate_code,RatecodeID,rate_code_id
Standard rate,1,293
Standard rate,1,294
Standard rate,1,295
Standard rate,1,296
Standard rate,1,297
Standard rate,1,298
Standard rate,1,299
Standard rate,1,300
Standard rate,1,301
Standard rate,1,302
Standard rate,1,303
Standard rate,1,304
Standard rate,1,305
Standard rate,1,306
Standard rate,1,307
Standard rate,1,308
Standard rate,1,309
Standard rate,1,310
Standard rate,1,311
Standard rate,1,312
Standard rate,1,313
Standard rate,1,314
Standard rate,1,315
Standard rate,1,316
Standard rate,1,317
Standard rate,1,318
Standard rate,1,319
Standard rate,1,320
Standard rate,1,321
Standard rate,1,322
Standard rate,1,323
Standard rate,1,324
Standard rate,1,325
Standard rate,1,326
Standard rate,1,327
JFK,2,328
Standard rate,1,329
Standard rate,1,330
Standard rate,1,331
Standard rate,1,332
Standard rate,1,333
Standard rate,1,334
Standard rate,1,335
Standard rate,1,336
Standard rate,1,337
Standard rate,1,338
Standard rate,1,339
Standard rate,1,340
Standard rate,1,341
Standard rate,1,342
Standard rate,1,343
Standard rate,1,344
Standard rate,1,345
Standard rate,1,346
Standard rate,1,347
Standard rate,1,348
Standard rate,1,349
Standard rate,1,350
JFK,2,351
Standard rate,1,352
JFK,2,353
Standard rate,1,354
Standard rate,1,355
Standard rate,1,356
Standard rate,1,357
Standard rate,1,358
Standard rate,1,359
Standard rate,1,360
Standard rate,1,361
Standard rate,1,362
Standard rate,1,363
Standard rate,1,364
Standard rate,1,365
Standard rate,1,366
Standard rate,1,367
Standard rate,1,368
Standard rate,1,369
Standard rate,1,370
Standard rate,1,371
Standard rate,1,372
Standard rate,1,373
Standard rate,1,374
Standard rate,1,375
Standard rate,1,376
Standard rate,1,377
Standard rate,1,378
Standard rate,1,379
Standard rate,1,380
Standard rate,1,381
Standard rate,1,382
Standard rate,1,383
Standard rate,1,384
Standard rate,1,385
Standard rate,1,386
Standard rate,1,387
Standard rate,1,388
Standard rate,1,389
Standard rate,1,390
Standard rate,1,391
Standard rate,1,392
Standard rate,1,393
Standard rate,1,394
Standard rate,1,395
Standard rate,1,396
Standard rate,1,397
Standard rate,1,398
Standard rate,1,399
Standard rate,1,400
Standard rate,1,401
Standard rate,1,402
Standard rate,1,403
Standard rate,1,404
Standard rate,1,405
Standard rate,1,406
Standard rate,1,407
Standard rate,1,408
Standard rate,1,409
Standard rate,1,410
Standard rate,1,411
Standard rate,1,412
JFK,2,413
Standard rate,1,414
Standard rate,1,415
Standard rate,1,416
Standard rate,1,417
Standard rate,1,418
Standard rate,1,419
Standard rate,1,420
Standard rate,1,421
Standard rate,1,422
JFK,2,423
Standard rate,1,424
Standard rate,1,425
Standard rate,1,426
JFK,2,427
Standard rate,1,428
Standard rate,1,429
Standard rate,1,430
Standard rate,1,431
Standard rate,1,432
Standard rate,1,433
Standard rate,1,434
Standard rate,1,435
JFK,2,436
Standard rate,1,437
Standard rate,1,438
Standard rate,1,439
Standard rate,1,440
Standard rate,1,441
Standard rate,1,442
Standard rate,1,443
Standard rate,1,444
Standard rate,1,445
Standard rate,1,446
Standard rate,1,447
Standard rate,1,448
Standard rate,1,449
Standard rate,1,450
Standard rate,1,451
Standard rate,1,452
Standard rate,1,453
Standard rate,1,454
Standard rate,1,455
Standard rate,1,456
Standard rate,1,457
Standard rate,1,458
JFK,2,459
Standard rate,1,460
Standard rate,1,461
Newark,3,462
Standard rate,1,463
Standard rate,1,464
Standard rate,1,465
Standard rate,1,466
Standard rate,1,467
Standard rate,1,468
Standard rate,1,469
Standard rate,1,470
Standard rate,1,471
Standard rate,1,472
Standard rate,1,473
Standard rate,1,474
Standard rate,1,475
Standard rate,1,476
JFK,2,477
Newark,3,478
Standard rate,1,479
Standard rate,1,480
Standard rate,1,481
Standard rate,1,482
Standard rate,1,483
Standard rate,1,484
Standard rate,1,485
Standard rate,1,486
Standard rate,1,487
Standard rate,1,488
Standard rate,1,489
Standard rate,1,490
Standard rate,1,491
Standard rate,1,492
Standard rate,1,493
Standard rate,1,494
Standard rate,1,495
Standard rate,1,496
Standard rate,1,497
Standard rate,1,498
Standard rate,1,499
Standard rate,1,500
Standard rate,1,501
Standard rate,1,502
Standard rate,1,503
Standard rate,1,504
Standard rate,1,505
Standard rate,1,506
Standard rate,1,507
Standard rate,1,508
Standard rate,1,509
Standard rate,1,510
Standard rate,1,511
Standard rate,1,512
JFK,2,513
Standard rate,1,514
Standard rate,1,515
Standard rate,1,516
Standard rate,1,517
Standard rate,1,518
Standard rate,1,519
Standard rate,1,520
JFK,2,521
Standard rate,1,522
Standard rate,1,523
Standard rate,1,524
Standard rate,1,525
Standard rate,1,526
Standard rate,1,527
Standard rate,1,528
Standard rate,1,529
Standard rate,1,530
Standard rate,1,531
Standard rate,1,532
Standard rate,1,533
Standard rate,1,534
Standard rate,1,535
Standard rate,1,536
Standard rate,1,537
Standard rate,1,538
Standard rate,1,539
Standard rate,1,540
Standard rate,1,541
JFK,2,542
JFK,2,543
Standard rate,1,544
Standard rate,1,545
Standard rate,1,546
Standard rate,1,547
Standard rate,1,548
Standard rate,1,549
Standard rate,1,550
Standard rate,1,551
Standard rate,1,552
Standard rate,1,553
Standard rate,1,554
Standard rate,1,555
Standard rate,1,556
Standard rate,1,557
Standard rate,1,558
Standard rate,1,559
Standard rate,1,560
Standard rate,1,561
Standard rate,1,562
Standard rate,1,563
Standard rate,1,564
Standard rate,1,565
Standard rate,1,566
Standard rate,1,567
Standard rate,1,568
Standard rate,1,569
Standard rate,1,570
Standard rate,1,571
Standard rate,1,572
Standard rate,1,573
Standard rate,1,574
Standard rate,1,575
Standard rate,1,576
Standard rate,1,577
Standard rate,1,578
Standard rate,1,579
Standard rate,1,580
Standard rate,1,581
Standard rate,1,582
Negotiated fare,5,583
Standard rate,1,584
Standard rate,1,585
Standard rate,1,586
Standard rate,1,587
Standard rate,1,588
Standard rate,1,589
Standard rate,1,590
Standard rate,1,591
Standard rate,1,592
Standard rate,1,593
JFK,2,594
Standard rate,1,595
Standard rate,1,596
Standard rate,1,597
Standard rate,1,598
Standard rate,1,599
Standard rate,1,600
Standard rate,1,601
Standard rate,1,602
Standard rate,1,603
Standard rate,1,604
Standard rate,1,605
Standard rate,1,606
Standard rate,1,607
Standard rate,1,608
JFK,2,609
Standard rate,1,610
JFK,2,611
Standard rate,1,612
Standard rate,1,613
Standard rate,1,614
Standard rate,1,615
Standard rate,1,616
Standard rate,1,617
Standard rate,1,618
Standard rate,1,619
Standard rate,1,620
Standard rate,1,621
Standard rate,1,622
Standard rate,1,623
Standard rate,1,624
JFK,2,625
JFK,2,626
Standard rate,1,627
Standard rate,1,628
Standard rate,1,629
Standard rate,1,630
Standard rate,1,631
Standard rate,1,632
Standard rate,1,633
Standard rate,1,634
Standard rate,1,635
Standard rate,1,636
Standard rate,1,637
Standard rate,1,638
Standard rate,1,639
Standard rate,1,640
Standard rate,1,641
Standard rate,1,642
JFK,2,643
Standard rate,1,644
Standard rate,1,645
Standard rate,1,646
Standard rate,1,647
Standard rate,1,648
Standard rate,1,649
Standard rate,1,650
Standard rate,1,651
Standard rate,1,652
Standard rate,1,653
Standard rate,1,654
Standard rate,1,655
Standard rate,1,656
Standard rate,1,657
Standard rate,1,658
Standard rate,1,659
JFK,2,660
Standard rate,1,661
Standard rate,1,662
Standard rate,1,663
Standard rate,1,664
Standard rate,1,665
Standard rate,1,666
Standard rate,1,667
Standard rate,1,668
Standard rate,1,669
Standard rate,1,670
Standard rate,1,671
Standard rate,1,672
Standard rate,1,673
Standard rate,1,674
JFK,2,675
Standard rate,1,676
Standard rate,1,677
Standard rate,1,678
Standard rate,1,679
Standard rate,1,680
Standard rate,1,681
Standard rate,1,682
Standard rate,1,683
Standard rate,1,684
Standard rate,1,685
Standard rate,1,686
Standard rate,1,687
Standard rate,1,688
Standard rate,1,689
Standard rate,1,690
Standard rate,1,691
Standard rate,1,692
Standard rate,1,693
Standard rate,1,694
Standard rate,1,695
Standard rate,1,696
Standard rate,1,697
Standard rate,1,698
Standard rate,1,699
Standard rate,1,700
Standard rate,1,701
Standard rate,1,702
Standard rate,1,703
Standard rate,1,704
Standard rate,1,705
Standard rate,1,706
Standard rate,1,707
Standard rate,1,708
Standard rate,1,709
Standard rate,1,710
Standard rate,1,711
Standard rate,1,712
Standard rate,1,713
Standard rate,1,714
Standard rate,1,715
Standard rate,1,716
Standard rate,1,717
Standard rate,1,718
Standard rate,1,719
Standard rate,1,720
Standard rate,1,721
Standard rate,1,722
Standard rate,1,723
Standard rate,1,724
Standard rate,1,725
Standard rate,1,726
Standard rate,1,727
Standard rate,1,728
Standard rate,1,729
Standard rate,1,730
Standard rate,1,731
Standard rate,1,732
Standard rate,1,733
Standard rate,1,734
Standard rate,1,735
Standard rate,1,736
Standard rate,1,737
Standard rate,1,738
Standard rate,1,739
Standard rate,1,740
Standard rate,1,741
Standard rate,1,742
Standard rate,1,743
Standard rate,1,744
Standard rate,1,745
Standard rate,1,746
Standard rate,1,747
Standard rate,1,748
Standard rate,1,749
Standard rate,1,750
Standard rate,1,751
Standard rate,1,752
Standard rate,1,753
Standard rate,1,754
Standard rate,1,755
Standard rate,1,756
Standard rate,1,757
Standard rate,1,758
Standard rate,1,759
Standard rate,1,760
Standard rate,1,761
Standard rate,1,762
Standard rate,1,763
Standard rate,1,764
Standard rate,1,765
Standard rate,1,766
Standard rate,1,767
Standard rate,1,768
Standard rate,1,769
JFK,2,770
JFK,2,771
Standard rate,1,772
Standard rate,1,773
Standard rate,1,774
Standard rate,1,775
Standard rate,1,776
Standard rate,1,777
Standard rate,1,778
Standard rate,1,779
Standard rate,1,780
Standard rate,1,781
Standard rate,1,782
Standard rate,1,783
Standard rate,1,784
Standard rate,1,785
Standard rate,1,786
Standard rate,1,787
Standard rate,1,788
Standard rate,1,789
Standard rate,1,790
Standard rate,1,791
Standard rate,1,792
Standard rate,1,793
Standard rate,1,794
Standard rate,1,795
Standard rate,1,796
Standard rate,1,797
Standard rate,1,798
Standard rate,1,799
Standard rate,1,800
Standard rate,1,801
Standard rate,1,802
Standard rate,1,803
Standard rate,1,804
Standard rate,1,805
Standard rate,1,806
Standard rate,1,807
Standard rate,1,808
Standard rate,1,809
Standard rate,1,810
Standard rate,1,811
Standard rate,1,812
Standard rate,1,813
JFK,2,814
Standard rate,1,815
Standard rate,1,816
Standard rate,1,817
Standard rate,1,818
Standard rate,1,819
Standard rate,1,820
Standard rate,1,821
Standard rate,1,822
Standard rate,1,823
Standard rate,1,824
Standard rate,1,825
Standard rate,1,826
Standard rate,1,827
Standard rate,1,828
Standard rate,1,829
Standard rate,1,830
Standard rate,1,831
Standard rate,1,832
Standard rate,1,833
Standard rate,1,834
Standard rate,1,835
Standard rate,1,836
Standard rate,1,837
Standard rate,1,838
Standard rate,1,839
Standard rate,1,840
Standard rate,1,841
Standard rate,1,842
Standard rate,1,843
Standard rate,1,844
Standard rate,1,845
Standard rate,1,846
Standard rate,1,847
JFK,2,848
Standard rate,1,849
Standard rate,1,850
Standard rate,1,851
Standard rate,1,852
Standard rate,1,853
Standard rate,1,854
Standard rate,1,855
Standard rate,1,856
Standard rate,1,857
Standard rate,1,858
Standard rate,1,859
Standard rate,1,860
Standard rate,1,861
Standard rate,1,862
Standard rate,1,863
Standard rate,1,864
Standard rate,1,865
Standard rate,1,866
Standard rate,1,867
Standard rate,1,868
Standard rate,1,869
Standard rate,1,870
Standard rate,1,871
Standard rate,1,872
Standard rate,1,873
Standard rate,1,874
Standard rate,1,875
Standard rate,1,876
Standard rate,1,877
Standard rate,1,878
Standard rate,1,879
Standard rate,1,880
Standard rate,1,881
Standard rate,1,882
Standard rate,1,883
Standard rate,1,884
Standard rate,1,885
Standard rate,1,886
Standard rate,1,887
Standard rate,1,888
Standard rate,1,889
Standard rate,1,890
Standard rate,1,891
Standard rate,1,892
Standard rate,1,893
Standard rate,1,894
Standard rate,1,895
Standard rate,1,896
Standard rate,1,897
Standard rate,1,898
Standard rate,1,899
Standard rate,1,900
Standard rate,1,901
Standard rate,1,902
Standard rate,1,903
Standard rate,1,904
Standard rate,1,905
Standard rate,1,906
Standard rate,1,907
Standard rate,1,908
Standard rate,1,909
Standard rate,1,910
Standard rate,1,911
Standard rate,1,912
Standard rate,1,913
Standard rate,1,914
Standard rate,1,915
Standard rate,1,916
Standard rate,1,917
Standard rate,1,918
Standard rate,1,919
Standard rate,1,920
Standard rate,1,921
Standard rate,1,922
Standard rate,1,923
Standard rate,1,924
Standard rate,1,925
Standard rate,1,926
Standard rate,1,927
Standard rate,1,928
Standard rate,1,929
Standard rate,1,930
Standard rate,1,931
Standard rate,1,932
Standard rate,1,933
Standard rate,1,934
Standard rate,1,935
Standard rate,1,936
Standard rate,1,937
Standard rate,1,938
Standard rate,1,939
Standard rate,1,940
Standard rate,1,941
Standard rate,1,942
Standard rate,1,943
Standard rate,1,944
Standard rate,1,945
Standard rate,1,946
Standard rate,1,947
Standard rate,1,948
Standard rate,1,949
Standard rate,1,950
Standard rate,1,951
Standard rate,1,952
Standard rate,1,953
Standard rate,1,954
Standard rate,1,955
Standard rate,1,956
Standard rate,1,957
Standard rate,1,958
Standard rate,1,959
Standard rate,1,960
Standard rate,1,961
Standard rate,1,962
Standard rate,1,963
Standard rate,1,964
Standard rate,1,965
Standard rate,1,966
Standard rate,1,967
Standard rate,1,968
Standard rate,1,969
Standard rate,1,970
Standard rate,1,971
Standard rate,1,972
Standard rate,1,973
Standard rate,1,974
Standard rate,1,975
Standard rate,1,976
Standard rate,1,977
Standard rate,1,978
Standard rate,1,979
Standard rate,1,980
Standard rate,1,981
Standard rate,1,982
Standard rate,1,983
Standard rate,1,984
Standard rate,1,985
Standard rate,1,986
Standard rate,1,987
Standard rate,1,988
Standard rate,1,989
Standard rate,1,990
Standard rate,1,991
JFK,2,992
Standard rate,1,993
Standard rate,1,994
Standard rate,1,995
Standard rate,1,996
Standard rate,1,997
Standard rate,1,998
Standard rate,1,999
Standard rate,1,1000
Standard rate,1,1001
Standard rate,1,1002
Standard rate,1,1003
Standard rate,1,1004
Standard rate,1,1005
Standard rate,1,1006
Standard rate,1,1007
Standard rate,1,1008
Standard rate,1,1009
Standard rate,1,1010
Standard rate,1,1011
Standard rate,1,1012
Standard rate,1,1013
Standard rate,1,1014
Standard rate,1,1015
Standard rate,1,1016
Standard rate,1,1017
Standard rate,1,1018
Standard rate,1,1019
Standard rate,1,1020
Standard rate,1,1021
Standard rate,1,1022
Standard rate,1,1023
Standard rate,1,1024
Standard rate,1,1025
Standard rate,1,1026
Standard rate,1,1027
Standard rate,1,1028
Standard rate,1,1029
Standard rate,1,1030
Standard rate,1,1031
Standard rate,1,1032
Standard rate,1,1033
Standard rate,1,1034
Standard rate,1,1035
Standard rate,1,1036
Standard rate,1,1037
Standard rate,1,1038
Standard rate,1,1039
Standard rate,1,1040
JFK,2,1041
Standard rate,1,1042
Standard rate,1,1043
Standard rate,1,1044
Standard rate,1,1045
Standard rate,1,1046
JFK,2,1047
Standard rate,1,1048
Standard rate,1,1049
Standard rate,1,1050
Standard rate,1,1051
Standard rate,1,1052
Standard rate,1,1053
Standard rate,1,1054
Standard rate,1,1055
Standard rate,1,1056
Standard rate,1,1057
Standard rate,1,1058
Standard rate,1,1059
Standard rate,1,1060
Standard rate,1,1061
Standard rate,1,1062
Standard rate,1,1063
Standard rate,1,1064
Standard rate,1,1065
Standard rate,1,1066
Standard rate,1,1067
Standard rate,1,1068
Standard rate,1,1069
Standard rate,1,1070
Standard rate,1,1071
Standard rate,1,1072
Standard rate,1,1073
Standard rate,1,1074
Standard rate,1,1075
Standard rate,1,1076
Standard rate,1,1077
Standard rate,1,1078
Standard rate,1,1079
Standard rate,1,1080
Standard rate,1,1081
Standard rate,1,1082
Standard rate,1,1083
Standard rate,1,1084
Standard rate,1,1085
Standard rate,1,1086
Standard rate,1,1087
Standard rate,1,1088
Standard rate,1,1089
Standard rate,1,1090
Standard rate,1,1091
Standard rate,1,1092
Standard rate,1,1093
Standard rate,1,1094
Standard rate,1,1095
Standard rate,1,1096
Standard rate,1,1097
Standard rate,1,1098
Standard rate,1,1099
Standard rate,1,1100
Standard rate,1,1101
Standard rate,1,1102
Standard rate,1,1103
Standard rate,1,1104
Standard rate,1,1105
Standard rate,1,1106
Standard rate,1,1107
Standard rate,1,1108
Standard rate,1,1109
Standard rate,1,1110
Standard rate,1,1111
Standard rate,1,1112
Standard rate,1,1113
Standard rate,1,1114
Standard rate,1,1115
JFK,2,1116
Standard rate,1,1117
Standard rate,1,1118
Standard rate,1,1119
Standard rate,1,1120
Standard rate,1,1121
Standard rate,1,1122
Standard rate,1,1123
Standard rate,1,1124
Standard rate,1,1125
Standard rate,1,1126
Standard rate,1,1127
Standard rate,1,1128
Standard rate,1,1129
Standard rate,1,1130
Standard rate,1,1131
Standard rate,1,1132
Standard rate,1,1133
Standard rate,1,1134
Standard rate,1,1135
Standard rate,1,1136
Standard rate,1,1137
Standard rate,1,1138
Standard rate,1,1139
Standard rate,1,1140
Standard rate,1,1141
Standard rate,1,1142
Standard rate,1,1143
JFK,2,1144
Standard rate,1,1145
Standard rate,1,1146
Standard rate,1,1147
Standard rate,1,1148
Standard rate,1,1149
Standard rate,1,1150
Standard rate,1,1151
Standard rate,1,1152
Standard rate,1,1153
Standard rate,1,1154
Standard rate,1,1155
Standard rate,1,1156
Standard rate,1,1157
Standard rate,1,1158
Standard rate,1,1159
Standard rate,1,1160
Standard rate,1,1161
JFK,2,1162
Standard rate,1,1163
Standard rate,1,1164
Standard rate,1,1165
Standard rate,1,1166
Standard rate,1,1167
Standard rate,1,1168
Standard rate,1,1169
Standard rate,1,1170
Standard rate,1,1171
Standard rate,1,1172
Standard rate,1,1173
Standard rate,1,1174
Standard rate,1,1175
Standard rate,1,1176
Standard rate,1,1177
Standard rate,1,1178
Standard rate,1,1179
Standard rate,1,1180
Standard rate,1,1181
Standard rate,1,1182
Standard rate,1,1183
Standard rate,1,1184
Standard rate,1,1185
Standard rate,1,1186
Standard rate,1,1187
Standard rate,1,1188
Standard rate,1,1189
Standard rate,1,1190
Standard rate,1,1191
Standard rate,1,1192
Standard rate,1,1193
Standard rate,1,1194
Standard rate,1,1195
Standard rate,1,1196
Standard rate,1,1197
Standard rate,1,1198
Standard rate,1,1199
Standard rate,1,1200
Standard rate,1,1201
Standard rate,1,1202
Standard rate,1,1203
JFK,2,1204
Standard rate,1,1205
Standard rate,1,1206
Standard rate,1,1207
Standard rate,1,1208
Standard rate,1,1209
Standard rate,1,1210
Standard rate,1,1211
Standard rate,1,1212
Standard rate,1,1213
Standard rate,1,1214
Standard rate,1,1215
Standard rate,1,1216
Standard rate,1,1217
Standard rate,1,1218
Standard rate,1,1219
Standard rate,1,1220
Standard rate,1,1221
Standard rate,1,1222
Standard rate,1,1223
Standard rate,1,1224
Standard rate,1,1225
Standard rate,1,1226
JFK,2,1227
Standard rate,1,1228
Standard rate,1,1229
Standard rate,1,1230
Standard rate,1,1231
Standard rate,1,1232
Standard rate,1,1233
Standard rate,1,1234
Standard rate,1,1235
Standard rate,1,1236
Standard rate,1,1237
Standard rate,1,1238
JFK,2,1239
Standard rate,1,1240
Standard rate,1,1241
Standard rate,1,1242
Standard rate,1,1243
Standard rate,1,1244
Standard rate,1,1245
Standard rate,1,1246
Standard rate,1,1247
Standard rate,1,1248
Standard rate,1,1249
Standard rate,1,1250
Standard rate,1,1251
Standard rate,1,1252
Standard rate,1,1253
Standard rate,1,1254
Standard rate,1,1255
Standard rate,1,1256
Standard rate,1,1257
Standard rate,1,1258
Standard rate,1,1259
Standard rate,1,1260
Standard rate,1,1261
Standard rate,1,1262
Standard rate,1,1263
Standard rate,1,1264
Standard rate,1,1265
Standard rate,1,1266
Standard rate,1,1267
Standard rate,1,1268
Standard rate,1,1269
Standard rate,1,1270
Standard rate,1,1271
Standard rate,1,1272
Standard rate,1,1273
Standard rate,1,1274
Standard rate,1,1275
Standard rate,1,1276
Standard rate,1,1277
Standard rate,1,1278
Standard rate,1,1279
Standard rate,1,1280
Standard rate,1,1281
Standard rate,1,1282
Standard rate,1,1283
Standard rate,1,1284
Standard rate,1,1285
Standard rate,1,1286
Standard rate,1,1287
Standard rate,1,1288
Standard rate,1,1289
Standard rate,1,1290
Standard rate,1,1291
Standard rate,1,1292
Standard rate,1,1293
Standard rate,1,1294
Standard rate,1,1295
Standard rate,1,1296
Standard rate,1,1297
Standard rate,1,1298
Standard rate,1,1299
Standard rate,1,1300
Standard rate,1,1301
Standard rate,1,1302
Standard rate,1,1303
Standard rate,1,1304
Standard rate,1,1305
Standard rate,1,1306
Standard rate,1,1307
Standard rate,1,1308
Standard rate,1,1309
Standard rate,1,1310
Standard rate,1,1311
Standard rate,1,1312
Standard rate,1,1313
Standard rate,1,1314
Standard rate,1,1315
Standard rate,1,1316
Standard rate,1,1317
Standard rate,1,1318
Standard rate,1,1319
Standard rate,1,1320
Standard rate,1,1321
Standard rate,1,1322
Standard rate,1,1323
Standard rate,1,1324
Standard rate,1,1325
Standard rate,1,1326
Standard rate,1,1327
Standard rate,1,1328
Standard rate,1,1329
Standard rate,1,1330
Standard rate,1,1331
Standard rate,1,1332
Standard rate,1,1333
Standard rate,1,1334
Standard rate,1,1335
Standard rate,1,1336
JFK,2,1337
Standard rate,1,1338
Standard rate,1,1339
Standard rate,1,1340
Standard rate,1,1341
Standard rate,1,1342
Standard rate,1,1343
Standard rate,1,1344
Standard rate,1,1345
Standard rate,1,1346
Standard rate,1,1347
Standard rate,1,1348
Standard rate,1,1349
Standard rate,1,1350
Standard rate,1,1351
Standard rate,1,1352
Standard rate,1,1353
Standard rate,1,1354
Standard rate,1,1355
Standard rate,1,1356
Standard rate,1,1357
Standard rate,1,1358
Standard rate,1,1359
JFK,2,1360
Standard rate,1,1361
Standard rate,1,1362
Standard rate,1,1363
Standard rate,1,1364
Standard rate,1,1365
Standard rate,1,1366
Standard rate,1,1367
